Order ID,Order Date,Region,Product,Price,Units Sold
2001,2024-05-10,  South  ,Smartphone,$780.00,150
2002,2024-05-24,International,Laptop,"$1,280.00",140
2002,2024-05-24,international ,Laptop,"$1,280.00",140
2003,2024-05-24,International,laptop,"$1,280.00",140
2004,2024-06-07,North,Tablet,$690.00,100
2005,2024-06-21,Central,Printer,$420.00,70
2005,2024-06-21,Central,Printer,$420.00,70
2006,2024-06-28,Northeast ,Laptop,"$1,230.00",130
2007,2024-07-26,North ,Laptop,"$1,250.00",150
2008,2024-07-19,International,Headset,$88.00,260
2009,2024-08-02,central,Tablet,$700.00,120
2010,2024-08-23,SOUTH,Mouse,$26.00,220
,2024-08-30,Northeast,Monitor,$335.00,95
2011,2024-09-06,North,Laptop,"$1,280.00",160
2012,2024-09-13,West,Gaming Console,$450.00,140
2013,2024-09-27,Intl,Tablet,$720.00,180
2014,2024-10-11,east,Webcam,$52.00,250
2015,2024-11-15,South,Tablet,$710.00,200
2016,2024-11-22,West,Headset,$92.00,280
2017,2024-12-06,North,Laptop,"$1,350.00",240
2018,2024-12-31,International,Gaming Console,$470.00,180
